_date,referee,home,away,fouls_home,fouls_away,corners_home,corners_away,tackles_home,tackles_away,offsides_home,offsides_away,goal_kicks_home,goal_kicks_away,trow_ins_home,trow_ins_away,sot_home,sot_away,shots_home,shots_away,league_season
2024-01-20,Sascha Stegemann,Freiburg,Hoffenheim,18,10,2,2,13,14,1,1,7,6,24,13,9,4,18,16,BS 23/24
2024-01-20,Bastian Dankert,Bochum,Stuttgart,16,16,1,7,17,18,4,1,15,10,20,24,1,5,6,19,BS 23/24
2024-01-20,Matthias Jöllenbeck,RB Leipzig,Leverkusen,11,13,1,9,18,23,1,1,12,5,18,11,6,5,10,18,BS 23/24
2024-01-21,Marco Fritz,Bayern Munich,Werder Bremen,12,7,10,2,21,19,2,1,5,15,19,13,7,3,22,8,BS 23/24
2024-01-21,Martin Petersen,M'Gladbach,Augsburg,10,20,5,7,16,15,2,1,7,13,22,23,4,7,18,15,BS 23/24
2024-01-24,Frank Willenborg,Bayern Munich,Union Berlin,5,9,12,1,9,14,4,0,5,17,14,18,10,1,22,4,BS 23/24
2024-01-26,Felix Zwayer,Eint Frankfurt,Mainz 05,10,12,2,1,18,18,0,4,5,6,29,31,3,0,11,7,BS 23/24
2024-01-27,Robert Hartmann,Werder Bremen,Freiburg,14,12,5,5,13,12,0,0,2,8,10,9,2,3,13,6,BS 23/24
2024-01-27,Christian Dingert,Augsburg,Bayern Munich,12,11,4,5,20,8,4,2,7,9,21,14,5,4,13,13,BS 23/24
2024-01-27,Sören Storks,Wolfsburg,Köln,17,12,6,3,18,19,0,4,6,6,25,26,4,2,14,6,BS 23/24
2024-01-27,Tobias Welz,Hoffenheim,Heidenheim,11,13,9,5,19,15,2,1,10,8,20,17,6,3,22,14,BS 23/24
2024-01-27,Sven Jablonski,Stuttgart,RB Leipzig,9,11,9,3,17,17,1,3,3,4,23,23,8,2,17,4,BS 23/24
2024-01-27,Deniz Aytekin,Leverkusen,M'Gladbach,15,6,8,2,13,21,1,2,0,10,14,10,9,3,28,4,BS 23/24
2024-01-28,Harm Osmers,Union Berlin,Darmstadt 98,13,9,4,3,18,21,3,0,8,11,19,26,6,1,21,16,BS 23/24
2024-01-28,Benjamin Brand,Dortmund,Bochum,10,17,8,4,15,20,1,5,9,7,17,26,4,4,17,11,BS 23/24
2024-02-02,Bastian Dankert,Heidenheim,Dortmund,7,7,4,6,34,18,2,3,7,9,18,25,0,5,12,14,BS 23/24
2024-02-03,Daniel Siebert,Freiburg,Stuttgart,10,7,1,6,20,9,1,0,9,7,17,6,3,9,6,17,BS 23/24
2024-02-03,Tobias Stieler,Bayern Munich,M'Gladbach,10,9,6,5,18,16,2,0,5,7,17,18,6,2,20,11,BS 23/24
2024-02-03,Benjamin Brand,Mainz 05,Werder Bremen,22,16,11,1,14,19,2,1,5,7,27,13,5,1,23,6,BS 23/24
2024-02-03,Tobias Reichel,Darmstadt 98,Leverkusen,14,8,4,3,25,20,2,2,6,6,14,14,6,7,8,20,BS 23/24
2024-02-03,Patrick Ittrich,Bochum,Augsburg,17,14,3,5,11,17,3,3,9,7,27,29,4,2,10,13,BS 23/24
2024-02-03,Timo Gerach,Köln,Eint Frankfurt,8,13,7,7,17,12,2,1,4,7,21,20,4,4,15,11,BS 23/24
2024-02-04,Florian Badstübner,Wolfsburg,Hoffenheim,12,16,7,2,14,12,1,3,9,8,17,26,6,7,13,17,BS 23/24
2024-02-04,Marco Fritz,RB Leipzig,Union Berlin,13,11,5,4,12,10,2,0,5,8,14,15,6,2,16,10,BS 23/24
2024-02-07,Martin Petersen,Mainz 05,Union Berlin,14,15,8,3,17,14,2,2,11,6,34,33,6,4,16,16,BS 23/24
2024-02-09,Harm Osmers,Dortmund,Freiburg,13,7,5,3,12,19,3,3,3,7,19,8,8,3,17,6,BS 23/24
2024-02-10,Robert Schröder,Werder Bremen,Heidenheim,10,13,5,10,12,16,5,2,5,10,21,19,3,3,15,11,BS 23/24
2024-02-10,Matthias Jöllenbeck,Union Berlin,Wolfsburg,12,10,6,10,13,13,3,1,10,6,26,31,1,4,8,17,BS 23/24
2024-02-10,Sascha Stegemann,M'Gladbach,Darmstadt 98,11,15,7,2,10,29,0,3,6,13,20,21,8,1,24,10,BS 23/24
2024-02-10,Sven Jablonski,Eint Frankfurt,Bochum,6,12,8,3,21,18,0,3,12,7,26,29,2,5,9,14,BS 23/24
2024-02-10,Benjamin Brand,Augsburg,RB Leipzig,15,10,1,3,21,14,3,3,4,7,23,18,4,6,11,8,BS 23/24
2024-02-10,Felix Zwayer,Leverkusen,Bayern Munich,13,13,4,6,13,20,3,1,10,3,16,24,8,1,14,9,BS 23/24
2024-02-11,Deniz Aytekin,Stuttgart,Mainz 05,7,9,4,5,26,19,0,0,7,3,15,23,7,6,11,17,BS 23/24
2024-02-11,Christian Dingert,Hoffenheim,Köln,12,13,10,3,17,14,2,0,4,6,21,31,3,1,10,6,BS 23/24
2024-02-16,Daniel Siebert,Köln,Werder Bremen,16,11,5,3,19,28,2,0,8,4,30,15,2,4,13,13,BS 23/24
2024-02-17,Tobias Reichel,Mainz 05,Augsburg,8,16,7,7,15,14,2,1,7,9,28,24,4,3,17,10,BS 23/24
2024-02-17,Robert Hartmann,Hoffenheim,Union Berlin,10,8,6,2,14,15,2,2,8,7,20,27,4,3,18,10,BS 23/24
2024-02-17,Tobias Welz,Darmstadt 98,Stuttgart,15,14,5,3,10,15,6,2,6,6,21,14,7,4,20,14,BS 23/24
2024-02-17,Martin Petersen,Wolfsburg,Dortmund,18,5,5,3,24,16,5,3,7,4,17,18,4,5,11,12,BS 23/24
2024-02-17,Harm Osmers,Heidenheim,Leverkusen,15,5,4,5,24,17,0,1,12,8,34,17,3,3,6,18,BS 23/24
2024-02-17,Sören Storks,RB Leipzig,M'Gladbach,12,13,8,4,28,15,1,1,12,7,25,20,9,0,16,15,BS 23/24
2024-02-18,Tobias Stieler,Freiburg,Eint Frankfurt,8,10,6,1,8,20,0,1,5,5,21,12,6,5,12,10,BS 23/24
2024-02-18,Daniel Schlager,Bochum,Bayern Munich,12,10,4,9,28,15,5,0,9,6,20,23,3,9,12,27,BS 23/24
2024-02-23,Timo Gerach,Leverkusen,Mainz 05,14,16,11,2,7,16,2,2,6,6,22,11,7,4,17,13,BS 23/24
2024-02-24,Deniz Aytekin,Union Berlin,Heidenheim,9,12,4,2,13,18,4,0,4,9,33,27,3,4,12,10,BS 23/24
2024-02-24,Florian Badstübner,Werder Bremen,Darmstadt 98,10,13,4,6,19,9,5,2,5,8,16,28,4,3,15,12,BS 23/24
2024-02-24,Frank Willenborg,M'Gladbach,Bochum,13,13,5,6,22,18,3,1,7,8,13,29,5,4,21,16,BS 23/24
2024-02-24,Patrick Ittrich,Stuttgart,Köln,12,13,9,4,18,21,0,1,2,6,24,18,5,6,13,12,BS 23/24
2024-02-24,Sascha Stegemann,Bayern Munich,RB Leipzig,11,10,6,4,10,24,3,0,6,6,17,13,4,6,16,11,BS 23/24
2024-02-25,Daniel Schlager,Eint Frankfurt,Wolfsburg,9,7,5,3,14,23,5,2,7,9,25,19,5,8,12,14,BS 23/24
2024-02-25,Marco Fritz,Dortmund,Hoffenheim,7,10,10,3,14,20,0,1,4,8,24,16,7,5,21,9,BS 23/24
2024-02-25,Bastian Dankert,Augsburg,Freiburg,16,11,10,2,11,22,1,3,7,13,22,9,8,0,19,4,BS 23/24
2024-03-01,Sven Jablonski,Freiburg,Bayern Munich,11,7,3,6,16,13,3,0,11,10,11,17,6,7,17,20,BS 23/24
2024-03-02,Harm Osmers,Bochum,RB Leipzig,13,10,2,5,15,14,4,2,7,11,23,19,3,4,14,12,BS 23/24
2024-03-02,Sören Storks,Heidenheim,Eint Frankfurt,7,10,7,3,13,14,1,1,5,23,29,19,3,5,15,10,BS 23/24
2024-03-02,Robert Schröder,Mainz 05,M'Gladbach,11,16,12,6,20,20,0,5,9,13,19,22,3,5,19,14,BS 23/24
2024-03-02,Christian Dingert,Union Berlin,Dortmund,11,8,8,7,20,21,4,1,6,9,10,14,3,7,14,13,BS 23/24
2024-03-02,Felix Zwayer,Darmstadt 98,Augsburg,4,12,3,6,13,12,1,0,13,3,26,13,5,7,10,22,BS 23/24
2024-03-02,Benjamin Brand,Wolfsburg,Stuttgart,19,14,5,4,17,14,0,2,5,9,17,11,2,2,12,6,BS 23/24
2024-03-03,Tobias Stieler,Köln,Leverkusen,10,9,1,9,15,12,2,1,13,6,10,18,0,5,6,17,BS 23/24
2024-03-03,Matthias Jöllenbeck,Hoffenheim,Werder Bremen,11,10,3,3,13,14,2,3,11,8,8,11,7,7,14,18,BS 23/24
2024-03-08,Robert Schröder,Stuttgart,Union Berlin,7,15,4,3,14,19,2,2,9,6,16,14,5,4,14,9,BS 23/24
2024-03-09,Patrick Ittrich,Bayern Munich,Mainz 05,8,7,6,7,16,17,2,1,8,4,18,12,11,2,24,14,BS 23/24
2024-03-09,Robert Hartmann,RB Leipzig,Darmstadt 98,3,14,8,4,9,12,0,1,4,13,23,12,8,4,29,9,BS 23/24
2024-03-09,Felix Zwayer,M'Gladbach,Köln,15,15,8,3,19,16,3,1,7,10,16,24,5,5,17,12,BS 23/24
2024-03-09,Frank Willenborg,Augsburg,Heidenheim,14,20,5,2,11,13,1,1,8,14,31,19,3,1,7,6,BS 23/24
2024-03-09,Deniz Aytekin,Werder Bremen,Dortmund,6,8,11,4,20,16,2,2,5,12,14,11,5,6,16,13,BS 23/24
2024-03-10,Marco Fritz,Bochum,Freiburg,11,11,12,5,9,20,2,3,4,9,32,14,7,4,24,9,BS 23/24
2024-03-10,Bastian Dankert,Eint Frankfurt,Hoffenheim,11,10,5,1,22,17,2,3,7,7,19,16,7,2,17,6,BS 23/24
2024-03-10,Daniel Siebert,Leverkusen,Wolfsburg,6,7,9,2,9,16,0,0,1,14,22,11,8,1,19,2,BS 23/24
2024-03-15,Florian Badstübner,Köln,RB Leipzig,11,13,3,6,11,15,1,1,10,7,16,18,2,8,10,22,BS 23/24
2024-03-16,Timo Gerach,Wolfsburg,Augsburg,12,19,8,6,13,15,1,5,7,8,13,17,4,5,15,15,BS 23/24
2024-03-16,Martin Petersen,Heidenheim,M'Gladbach,16,8,10,4,24,15,2,0,9,11,23,29,3,2,19,7,BS 23/24
2024-03-16,Daniel Schlager,Union Berlin,Werder Bremen,16,16,4,3,15,24,0,0,6,8,23,16,6,2,11,11,BS 23/24
2024-03-16,Matthias Jöllenbeck,Mainz 05,Bochum,15,16,7,6,22,13,1,2,9,6,24,27,3,1,14,11,BS 23/24
2024-03-16,Tobias Reichel,Darmstadt 98,Bayern Munich,9,6,2,9,25,10,1,1,10,2,11,25,3,6,7,27,BS 23/24
2024-03-16,Sascha Stegemann,Hoffenheim,Stuttgart,8,12,5,6,18,15,1,1,10,9,21,20,1,11,7,25,BS 23/24
2024-03-17,Harm Osmers,Freiburg,Leverkusen,13,6,2,8,20,15,1,0,6,9,15,10,3,7,11,19,BS 23/24
2024-03-17,Tobias Stieler,Dortmund,Eint Frankfurt,5,9,8,3,15,23,0,3,4,8,22,12,4,6,15,9,BS 23/24
2024-03-30,Sascha Stegemann,Werder Bremen,Wolfsburg,13,15,3,6,18,19,1,1,8,6,20,23,1,5,6,16,BS 23/24
2024-03-30,Marco Fritz,Eint Frankfurt,Union Berlin,8,14,6,2,19,24,2,3,8,9,32,13,3,2,16,11,BS 23/24
2024-03-30,Frank Willenborg,RB Leipzig,Mainz 05,10,15,12,2,15,21,4,0,8,7,21,18,9,2,20,8,BS 23/24
2024-03-30,Deniz Aytekin,Leverkusen,Hoffenheim,9,8,9,2,11,13,0,0,4,14,23,19,11,2,34,6,BS 23/24
2024-03-30,Christian Dingert,M'Gladbach,Freiburg,11,7,14,1,15,23,1,0,5,12,24,17,3,8,19,14,BS 23/24
2024-03-30,Harm Osmers,Bayern Munich,Dortmund,7,7,7,4,13,16,2,2,4,10,22,14,1,5,17,11,BS 23/24
2024-03-31,Sören Storks,Augsburg,Köln,9,13,12,6,11,25,1,1,6,15,30,12,5,2,25,12,BS 23/24
2024-03-31,Felix Zwayer,Stuttgart,Heidenheim,5,9,6,7,16,23,1,0,4,13,22,26,6,3,20,6,BS 23/24
2024-03-31,Sven Jablonski,Bochum,Darmstadt 98,7,16,6,5,22,8,0,2,9,16,26,18,7,3,21,12,BS 23/24
2024-04-05,Robert Hartmann,Eint Frankfurt,Werder Bremen,10,14,9,0,16,23,2,3,3,14,28,19,5,7,24,11,BS 23/24
2024-04-06,Daniel Siebert,Freiburg,RB Leipzig,7,13,8,4,13,18,0,1,6,3,18,13,2,6,12,14,BS 23/24
2024-04-06,Benjamin Brand,Union Berlin,Leverkusen,10,14,7,10,16,15,1,1,6,7,15,17,0,7,9,19,BS 23/24
2024-04-06,Tobias Welz,Köln,Bochum,16,13,9,4,14,19,0,4,7,10,34,21,7,2,20,11,BS 23/24
2024-04-06,Daniel Schlager,Mainz 05,Darmstadt 98,17,10,5,1,12,15,2,2,9,10,18,27,9,2,18,14,BS 23/24
2024-04-06,Robert Schröder,Heidenheim,Bayern Munich,9,8,3,3,23,18,0,2,10,4,22,25,4,7,9,15,BS 23/24
2024-04-06,Matthias Jöllenbeck,Dortmund,Stuttgart,8,8,8,3,8,16,2,2,9,12,19,19,7,2,16,10,BS 23/24
2024-04-07,Florian Exner,Hoffenheim,Augsburg,8,14,11,6,12,21,1,3,5,8,11,21,6,6,18,15,BS 23/24
2024-04-07,Bastian Dankert,Wolfsburg,M'Gladbach,9,12,4,4,16,16,0,2,6,7,16,21,4,6,13,10,BS 23/24
2024-04-12,Tobias Stieler,Augsburg,Union Berlin,15,14,5,4,25,13,2,0,11,8,22,26,4,3,10,17,BS 23/24
