_date,referee,home,away,fouls_home,fouls_away,corners_home,corners_away,tackles_home,tackles_away,offsides_home,offsides_away,goal_kicks_home,goal_kicks_away,trow_ins_home,trow_ins_away,sot_home,sot_away,shots_home,shots_away,league_season
2023-12-16,Miguel Ángel Ortiz Arias,Valencia,Barcelona,9,11,4,6,17,21,3,3,8,6,21,21,4,7,11,16,LA 23/24
2023-12-17,Pablo González,Almería,Mallorca,12,9,4,4,19,21,1,2,13,7,26,31,1,2,7,20,LA 23/24
2023-12-17,Mateo Busquets,Real Sociedad,Betis,12,12,2,7,21,27,5,1,6,6,20,17,4,3,12,12,LA 23/24
2023-12-17,Alejandro Muñíz,Las Palmas,Cádiz,9,12,4,6,15,19,3,5,7,8,21,24,2,5,7,13,LA 23/24
2023-12-17,Jorge Figueroa,Real Madrid,Villarreal,14,12,14,0,14,15,4,0,6,9,6,14,9,1,22,3,LA 23/24
2023-12-18,Francisco Hernández,Girona,Alavés,9,7,3,2,10,18,3,1,10,6,18,17,3,2,8,12,LA 23/24
2023-12-19,Alberola Rojas,Rayo Vallecano,Valencia,16,18,7,1,11,9,2,2,7,9,24,21,1,3,7,8,LA 23/24
2023-12-19,José Luis Munuera,Atlético Madrid,Getafe,6,14,1,12,9,10,10,0,15,4,14,20,3,8,7,28,LA 23/24
2023-12-19,Mateo Busquets,Granada,Sevilla,10,18,6,4,17,14,2,2,5,7,32,16,3,5,12,12,LA 23/24
2023-12-20,Guillermo Cuadra,Barcelona,Almería,16,9,12,0,11,20,3,3,4,15,14,7,11,5,30,10,LA 23/24
2023-12-20,Juan Martínez,Athletic Club,Las Palmas,12,11,5,2,13,22,3,4,6,9,20,22,8,1,18,5,LA 23/24
2023-12-20,César Soto,Villarreal,Celta Vigo,16,15,4,7,19,27,0,0,7,4,35,19,7,4,11,15,LA 23/24
2023-12-21,Javier Villanueva,Cádiz,Real Sociedad,16,15,7,5,20,24,1,2,6,7,19,25,2,1,10,8,LA 23/24
2023-12-21,Ricardo de Burgos,Betis,Girona,6,9,7,6,27,17,1,3,5,8,13,17,4,3,21,11,LA 23/24
2023-12-21,Isidro Díaz de Mera,Alavés,Real Madrid,18,13,3,3,18,13,1,0,12,7,13,20,2,4,8,9,LA 23/24
2023-12-21,Mario Melero,Mallorca,Osasuna,11,12,6,0,15,16,3,0,2,11,21,29,8,7,15,12,LA 23/24
2023-12-23,César Soto,Atlético Madrid,Sevilla,12,19,6,5,9,19,2,0,6,6,22,15,4,2,12,8,LA 23/24
2024-01-02,Jorge Figueroa,Getafe,Rayo Vallecano,16,16,2,3,9,15,3,4,8,6,22,17,0,7,5,12,LA 23/24
2024-01-02,Víctor García,Real Sociedad,Alavés,9,17,6,4,19,14,0,0,5,13,30,24,5,1,16,6,LA 23/24
2024-01-02,Jesús Gil,Valencia,Villarreal,12,15,4,3,15,16,1,4,6,3,19,13,6,4,9,8,LA 23/24
2024-01-03,Juan Pulido,Granada,Cádiz,17,16,5,6,14,16,0,3,7,9,21,26,8,2,15,15,LA 23/24
2024-01-03,Alejandro Muñíz,Real Madrid,Mallorca,5,15,5,4,10,18,0,0,5,13,28,23,5,0,17,7,LA 23/24
2024-01-03,Miguel Ángel Ortiz Arias,Celta Vigo,Betis,10,12,8,7,27,18,2,1,6,9,18,26,5,3,18,14,LA 23/24
2024-01-03,Alejandro Hernández,Girona,Atlético Madrid,8,10,7,8,12,21,0,2,9,4,11,4,9,12,17,18,LA 23/24
2024-01-04,César Soto,Osasuna,Almería,14,5,5,4,12,11,0,3,7,14,22,15,2,0,14,4,LA 23/24
2024-01-04,José Sánchez,Sevilla,Athletic Club,9,19,5,4,17,12,2,1,8,10,23,17,2,5,11,15,LA 23/24
2024-01-04,Pablo González,Las Palmas,Barcelona,14,5,5,10,10,14,2,14,8,6,10,26,3,4,12,14,LA 23/24
2024-01-12,Alejandro Hernández,Sevilla,Alavés,12,13,5,4,13,16,5,0,5,16,29,13,3,8,18,16,LA 23/24
2024-01-13,Javier Villanueva,Las Palmas,Villarreal,13,11,4,6,19,15,0,8,12,5,10,25,3,3,8,17,LA 23/24
2024-01-13,Víctor García,Mallorca,Celta Vigo,18,18,10,1,19,28,1,0,7,11,30,18,6,2,17,6,LA 23/24
2024-01-13,José Luis Munuera,Athletic Club,Real Sociedad,16,21,5,5,23,18,2,0,9,4,20,25,3,1,10,9,LA 23/24
2024-01-13,Guillermo Cuadra,Betis,Granada,11,17,13,1,22,27,1,4,2,8,26,26,6,2,25,6,LA 23/24
2024-01-14,Mateo Busquets,Almería,Girona,13,8,4,3,19,11,0,1,4,14,19,19,3,1,20,5,LA 23/24
2024-01-14,Isidro Díaz de Mera,Cádiz,Valencia,15,15,3,1,15,23,3,3,6,11,27,28,1,5,9,9,LA 23/24
2024-01-19,Alejandro Muñíz,Alavés,Cádiz,15,18,4,4,12,18,1,1,9,9,31,19,2,1,12,9,LA 23/24
2024-01-20,Mario Melero,Rayo Vallecano,Las Palmas,19,8,12,0,15,31,9,5,5,14,29,11,3,5,16,10,LA 23/24
2024-01-20,Miguel Ángel Ortiz Arias,Villarreal,Mallorca,13,11,4,6,22,22,0,2,5,8,24,16,5,2,18,8,LA 23/24
2024-01-20,Juan Pulido,Valencia,Athletic Club,11,14,4,2,16,19,4,0,5,9,19,29,1,3,6,6,LA 23/24
2024-01-20,Jorge Figueroa,Celta Vigo,Real Sociedad,12,18,6,3,11,22,1,1,8,6,31,31,2,2,6,6,LA 23/24
2024-01-21,José Sánchez,Osasuna,Getafe,14,16,1,4,10,10,7,6,4,6,20,20,7,7,13,10,LA 23/24
2024-01-21,Francisco Hernández,Real Madrid,Almería,9,17,6,3,8,27,5,1,5,13,25,13,5,2,17,10,LA 23/24
2024-01-21,Jesús Gil,Betis,Barcelona,12,9,3,4,16,24,4,6,5,5,23,18,4,4,14,11,LA 23/24
2024-01-21,Pablo González,Girona,Sevilla,9,11,4,5,23,19,1,1,8,4,11,20,8,3,12,9,LA 23/24
2024-01-22,Juan Martínez,Granada,Atlético Madrid,11,16,6,2,16,14,0,6,5,9,20,13,1,5,17,10,LA 23/24
2024-01-26,Miguel Ángel Ortiz Arias,Almería,Alavés,17,12,11,3,14,13,3,3,4,14,18,17,7,2,19,10,LA 23/24
2024-01-27,Alejandro Hernández,Real Sociedad,Rayo Vallecano,16,14,2,2,23,17,7,1,7,6,19,34,3,0,6,5,LA 23/24
2024-01-27,César Soto,Las Palmas,Real Madrid,17,14,1,6,12,20,0,3,6,10,14,12,2,5,7,13,LA 23/24
2024-01-27,José Luis Munuera,Barcelona,Villarreal,8,13,10,0,15,13,0,3,0,9,16,16,9,6,22,9,LA 23/24
2024-01-27,Javier Villanueva,Mallorca,Betis,14,6,5,4,16,10,2,0,4,13,19,18,1,2,14,8,LA 23/24
2024-01-28,Mario Melero,Celta Vigo,Girona,13,11,5,7,21,18,1,1,6,7,21,21,5,6,10,15,LA 23/24
2024-01-28,Mateo Busquets,Cádiz,Athletic Club,13,14,6,6,21,21,2,0,7,9,27,21,2,0,9,8,LA 23/24
2024-01-28,Guillermo Cuadra,Sevilla,Osasuna,19,13,2,4,13,13,5,2,6,5,23,32,5,4,10,11,LA 23/24
2024-01-28,Ricardo de Burgos,Atlético Madrid,Valencia,9,9,3,6,18,19,1,2,6,7,20,20,8,3,12,10,LA 23/24
2024-01-29,Víctor García,Getafe,Granada,17,11,4,3,12,12,4,5,11,4,21,18,4,3,7,15,LA 23/24
2024-01-31,Jorge Figueroa,Barcelona,Osasuna,9,12,6,6,12,14,4,2,6,9,21,10,4,1,16,9,LA 23/24
2024-01-31,César Soto,Atlético Madrid,Rayo Vallecano,11,13,5,6,22,13,7,0,8,9,23,20,3,2,8,10,LA 23/24
2024-02-01,Ricardo de Burgos,Getafe,Real Madrid,16,5,2,6,15,12,1,4,7,10,21,11,2,9,10,16,LA 23/24
2024-02-02,Jorge Figueroa,Athletic Club,Mallorca,17,15,6,2,13,21,1,5,4,5,22,11,6,2,13,6,LA 23/24
2024-02-03,Alejandro Muñíz,Valencia,Almería,17,16,0,6,17,13,2,1,5,3,31,29,2,4,6,15,LA 23/24
2024-02-03,Mateo Busquets,Granada,Las Palmas,6,16,2,9,19,10,4,1,13,2,7,17,1,6,3,16,LA 23/24
2024-02-03,Juan Martínez,Alavés,Barcelona,15,10,13,5,14,13,3,1,1,13,14,13,2,5,13,8,LA 23/24
2024-02-03,Jesús Gil,Girona,Real Sociedad,8,19,3,4,23,23,4,2,11,2,20,17,3,2,11,11,LA 23/24
2024-02-04,Pablo González,Villarreal,Cádiz,14,14,13,2,21,14,3,2,4,12,12,20,4,2,19,8,LA 23/24
2024-02-04,Alberola Rojas,Osasuna,Celta Vigo,10,10,9,1,13,18,0,2,3,12,42,12,1,5,18,6,LA 23/24
2024-02-04,Juan Pulido,Betis,Getafe,9,19,3,5,23,20,4,7,6,7,24,27,1,1,8,10,LA 23/24
2024-02-04,José Sánchez,Real Madrid,Atlético Madrid,6,15,2,8,19,25,2,1,6,11,20,21,4,5,17,10,LA 23/24
2024-02-05,Francisco Hernández,Rayo Vallecano,Sevilla,8,10,6,0,12,13,2,2,8,11,37,28,5,6,22,10,LA 23/24
