_date,day,comp,round,venue,result,team,opponent,start,pos,mins,goals,assists,pk,pkatt,shots,sot,crdy,crdr,touches,tackles,_int,blocks,xg,npxg,xag,sca,gca,cmp,att,cmp_pct,prgp,carries,prgc,player_name
2023-10-08,Sun,Serie A,Matchweek 8,Home,W 3–2,Lazio,Atalanta,Y,RW,76,0,1,0,0,1,0,0,0,60.0,1.0,2,2.0,0.0,0.0,0.5,2.0,1.0,39.0,47.0,83.0,2.0,20.0,1.0,Felipe Anderson
2023-10-21,Sat,Serie A,Matchweek 9,Away,W 2–0,Lazio,Sassuolo,Y,RW,90,1,0,0,0,2,2,0,0,54.0,0.0,1,0.0,0.5,0.5,0.5,6.0,0.0,25.0,43.0,58.1,3.0,29.0,3.0,Felipe Anderson
2023-10-25,Wed,Champions Lg,Group stage,Away,L 1–3,it Lazio,nl Feyenoord,Y,RW,67,0,0,0,0,0,0,0,0,43.0,0.0,1,1.0,0.0,0.0,0.0,1.0,0.0,28.0,36.0,77.8,1.0,26.0,0.0,Felipe Anderson
2023-10-30,Mon,Serie A,Matchweek 10,Home,W 1–0,Lazio,Fiorentina,Y,RW,90,0,0,0,0,3,1,0,0,41.0,4.0,0,1.0,0.6,0.6,0.1,3.0,0.0,25.0,29.0,86.2,4.0,22.0,5.0,Felipe Anderson
2023-11-03,Fri,Serie A,Matchweek 11,Away,L 0–1,Lazio,Bologna,Y,RW,80,0,0,0,0,1,0,0,0,63.0,2.0,2,3.0,0.0,0.0,0.0,2.0,0.0,31.0,43.0,72.1,5.0,28.0,3.0,Felipe Anderson
2023-11-07,Tue,Champions Lg,Group stage,Home,W 1–0,it Lazio,nl Feyenoord,Y,RW,90,0,1,0,0,1,0,0,0,44.0,2.0,3,0.0,0.1,0.1,0.6,3.0,1.0,29.0,34.0,85.3,8.0,24.0,3.0,Felipe Anderson
2023-11-12,Sun,Serie A,Matchweek 12,Home,D 0–0,Lazio,Roma,Y,"RW,LW",81,0,0,0,0,0,0,0,0,46.0,1.0,1,1.0,0.0,0.0,0.1,3.0,0.0,25.0,32.0,78.1,0.0,20.0,0.0,Felipe Anderson
2023-11-25,Sat,Serie A,Matchweek 13,Away,L 1–2,Lazio,Salernitana,Y,RW,68,0,0,0,0,2,0,0,0,40.0,2.0,1,0.0,0.1,0.1,0.8,4.0,0.0,24.0,29.0,82.8,2.0,26.0,2.0,Felipe Anderson
2023-11-28,Tue,Champions Lg,Group stage,Home,W 2–0,it Lazio,sct Celtic,Y,LW,60,0,0,0,0,3,0,0,0,41.0,2.0,2,0.0,0.3,0.3,0.1,3.0,0.0,20.0,29.0,69.0,4.0,23.0,3.0,Felipe Anderson
2023-12-09,Sat,Serie A,Matchweek 15,Away,D 1–1,Lazio,Hellas Verona,Y,RW,90,0,1,0,0,2,0,1,0,55.0,1.0,0,0.0,0.1,0.1,0.5,2.0,1.0,29.0,42.0,69.0,2.0,29.0,3.0,Felipe Anderson
2023-12-17,Sun,Serie A,Matchweek 16,Home,L 0–2,Lazio,Inter,Y,RW,79,0,0,0,0,0,0,0,0,47.0,0.0,1,2.0,0.0,0.0,0.1,2.0,0.0,31.0,40.0,77.5,3.0,22.0,5.0,Felipe Anderson
2023-12-22,Fri,Serie A,Matchweek 17,Away,W 2–0,Lazio,Empoli,Y,RW,77,0,0,0,0,0,0,0,0,42.0,6.0,1,3.0,0.0,0.0,0.0,0.0,0.0,10.0,20.0,50.0,0.0,12.0,3.0,Felipe Anderson
2023-12-29,Fri,Serie A,Matchweek 18,Home,W 3–1,Lazio,Frosinone,Y,RW,45,0,0,0,0,1,0,0,0,38.0,4.0,1,0.0,0.0,0.0,0.0,0.0,0.0,14.0,22.0,63.6,4.0,18.0,2.0,Felipe Anderson
2024-01-14,Sun,Serie A,Matchweek 20,Home,W 1–0,Lazio,Lecce,Y,"FW,RW",90,1,0,0,0,1,1,0,0,42.0,5.0,0,0.0,0.4,0.4,0.0,3.0,0.0,22.0,32.0,68.8,3.0,16.0,3.0,Felipe Anderson
2024-01-28,Sun,Serie A,Matchweek 22,Home,D 0–0,Lazio,Napoli,Y,"LW,RW",90,0,0,0,0,0,0,0,0,50.0,4.0,1,1.0,0.0,0.0,0.0,2.0,0.0,33.0,37.0,89.2,2.0,30.0,9.0,Felipe Anderson
2024-02-04,Sun,Serie A,Matchweek 23,Away,L 1–3,Lazio,Atalanta,Y,"LW,RW",90,0,0,0,0,1,0,1,0,47.0,2.0,1,1.0,0.1,0.1,0.0,1.0,0.0,27.0,33.0,81.8,3.0,32.0,2.0,Felipe Anderson
2024-02-10,Sat,Serie A,Matchweek 24,Away,W 3–1,Lazio,Cagliari,Y,LW,90,1,0,0,0,1,1,0,0,78.0,1.0,0,0.0,0.1,0.1,0.1,2.0,0.0,51.0,63.0,81.0,5.0,35.0,6.0,Felipe Anderson
2024-02-14,Wed,Champions Lg,Round of 16,Home,W 1–0,it Lazio,de Bayern Munich,Y,"LW,RW",90,0,0,0,0,1,0,0,0,59.0,4.0,1,1.0,0.1,0.1,0.0,1.0,0.0,36.0,44.0,81.8,1.0,25.0,2.0,Felipe Anderson
2024-02-18,Sun,Serie A,Matchweek 25,Home,L 1–2,Lazio,Bologna,Y,"LW,RW",90,0,0,0,0,0,0,0,0,63.0,4.0,0,6.0,0.0,0.0,0.1,2.0,0.0,30.0,44.0,68.2,1.0,33.0,0.0,Felipe Anderson
2024-02-22,Thu,Serie A,Matchweek 21,Away,W 2–0,Lazio,Torino,Y,LW,90,0,0,0,0,0,0,0,0,47.0,1.0,0,3.0,0.0,0.0,0.0,2.0,1.0,27.0,35.0,77.1,1.0,20.0,1.0,Felipe Anderson
2024-02-26,Mon,Serie A,Matchweek 26,Away,L 1–2,Lazio,Fiorentina,Y,"LW,RW",77,0,0,0,0,0,0,0,0,38.0,5.0,0,3.0,0.0,0.0,0.0,0.0,0.0,17.0,23.0,73.9,4.0,11.0,2.0,Felipe Anderson
2024-03-01,Fri,Serie A,Matchweek 27,Home,L 0–1,Lazio,Milan,Y,"RW,LW",90,0,0,0,0,1,0,0,0,44.0,4.0,1,1.0,0.1,0.1,0.6,4.0,0.0,14.0,24.0,58.3,4.0,21.0,3.0,Felipe Anderson
2024-03-05,Tue,Champions Lg,Round of 16,Away,L 0–3,it Lazio,de Bayern Munich,Y,"RW,LW",74,0,0,0,0,0,0,0,0,42.0,1.0,1,2.0,0.0,0.0,0.0,3.0,0.0,23.0,34.0,67.6,2.0,22.0,1.0,Felipe Anderson
2024-03-11,Mon,Serie A,Matchweek 28,Home,L 1–2,Lazio,Udinese,Y,RW,45,0,0,0,0,1,0,1,0,29.0,0.0,0,1.0,0.1,0.1,0.9,2.0,0.0,20.0,26.0,76.9,3.0,22.0,3.0,Felipe Anderson
2024-03-16,Sat,Serie A,Matchweek 29,Away,W 3–2,Lazio,Frosinone,Y,RW,81,0,0,0,0,2,0,0,0,47.0,4.0,1,3.0,0.1,0.1,0.1,4.0,0.0,29.0,35.0,82.9,3.0,17.0,3.0,Felipe Anderson
2024-03-30,Sat,Serie A,Matchweek 30,Home,W 1–0,Lazio,Juventus,Y,RM,90,0,0,0,0,2,1,0,0,71.0,4.0,1,0.0,0.0,0.0,0.3,5.0,1.0,43.0,60.0,71.7,12.0,35.0,4.0,Felipe Anderson
2024-04-06,Sat,Serie A,Matchweek 31,Away,L 0–1,Lazio,Roma,Y,WB,90,0,0,0,0,2,0,0,0,62.0,2.0,0,1.0,0.1,0.1,0.0,1.0,0.0,47.0,56.0,83.9,4.0,30.0,3.0,Felipe Anderson
2024-04-12,Fri,Serie A,Matchweek 32,Home,W 4–1,Lazio,Salernitana,Y,AM,90,2,0,0,0,4,2,0,0,69.0,3.0,1,0.0,0.8,0.8,0.3,7.0,1.0,46.0,56.0,82.1,7.0,43.0,3.0,Felipe Anderson
2024-04-19,Fri,Serie A,Matchweek 33,Away,W 1–0,Lazio,Genoa,Y,AM,67,0,0,0,0,2,0,0,0,49.0,0.0,0,2.0,0.2,0.2,0.0,3.0,1.0,31.0,41.0,75.6,3.0,23.0,3.0,Felipe Anderson
2024-04-27,Sat,Serie A,Matchweek 34,Home,W 1–0,Lazio,Hellas Verona,Y,"AM,RB",86,0,0,0,0,2,2,0,0,54.0,1.0,1,1.0,0.1,0.1,0.2,3.0,0.0,32.0,42.0,76.2,2.0,22.0,1.0,Felipe Anderson
2024-05-04,Sat,Serie A,Matchweek 35,Away,D 2–2,Lazio,Monza,Y,"AM,FW",81,0,0,0,0,0,0,0,0,37.0,2.0,1,1.0,0.0,0.0,0.1,2.0,0.0,19.0,27.0,70.4,2.0,20.0,2.0,Felipe Anderson
2024-05-12,Sun,Serie A,Matchweek 36,Home,W 2–0,Lazio,Empoli,Y,AM,64,0,0,0,0,3,1,0,0,53.0,3.0,0,0.0,0.2,0.2,0.1,1.0,0.0,36.0,44.0,81.8,6.0,29.0,2.0,Felipe Anderson
2023-09-20,Wed,Champions Lg,Group stage,Home,D 2–2,tr Galatasaray,dk FC Copenhagen,Y,LB,90,0,0,0,0,0.0,0.0,0,0,91.0,0.0,3.0,2.0,0.0,0.0,0.0,2.0,1.0,61.0,81.0,75.3,11.0,60.0,0.0,Angeliño
2023-10-03,Tue,Champions Lg,Group stage,Away,W 3–2,tr Galatasaray,eng Manchester Utd,Y,LB,83,0,0,0,0,0.0,0.0,0,0,51.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,32.0,44.0,72.7,5.0,27.0,0.0,Angeliño
2023-11-08,Wed,Champions Lg,Group stage,Away,L 1–2,tr Galatasaray,de Bayern Munich,Y,LB,77,0,0,0,0,0.0,0.0,0,0,53.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,31.0,45.0,68.9,2.0,29.0,1.0,Angeliño
2023-11-29,Wed,Champions Lg,Group stage,Home,D 3–3,tr Galatasaray,eng Manchester Utd,Y,LB,82,0,0,0,0,0.0,0.0,0,0,50.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,28.0,42.0,66.7,2.0,20.0,1.0,Angeliño
