_date,day,comp,round,venue,result,team,opponent,start,pos,mins,goals,assists,pk,pkatt,shots,sot,crdy,crdr,touches,tackles,_int,blocks,xg,npxg,xag,sca,gca,cmp,att,cmp_pct,prgp,carries,prgc,player_name
2024-04-24,Wed,Ligue 1,Matchweek 29,Away,D 2–2,Nice,Marseille,Y,"RW,RM",81,0,0,0,0,0,0,1,0,30.0,1.0,0,3.0,0.0,0.0,0.0,3.0,1.0,17.0,22.0,77.3,4.0,23.0,1.0,Mohamed Ali Cho
2024-04-28,Sun,Ligue 1,Matchweek 31,Away,W 3–1,Nice,Strasbourg,Y,RW,69,0,0,0,0,1,1,1,0,29.0,0.0,0,0.0,0.0,0.0,0.0,2.0,1.0,18.0,24.0,75.0,1.0,25.0,4.0,Mohamed Ali Cho
2024-05-10,Fri,Ligue 1,Matchweek 33,Home,W 1–0,Nice,Le Havre,Y,RW,81,0,0,0,0,2,1,0,0,31.0,0.0,0,0.0,0.1,0.1,0.3,3.0,0.0,19.0,23.0,82.6,2.0,26.0,5.0,Mohamed Ali Cho
2024-05-15,Wed,Ligue 1,Matchweek 32,Home,L 1–2,Nice,Paris S-G,Y,RW,57,1,0,0,0,1,1,0,0,19.0,1.0,0,0.0,0.1,0.1,0.0,0.0,0.0,10.0,12.0,83.3,2.0,17.0,3.0,Mohamed Ali Cho
2023-07-01,Sat,Primera Div,Matchweek 22,Away,D 1–1,Godoy Cruz,Talleres,Y,"LW,RW",90,1,0,0,0,2,1,0,0,37,5,0,0,0.7,0.7,0.5,3,0,12,22,54.5,2,23,3,Tadeo Allende
2023-07-05,Wed,Primera Div,Matchweek 23,Home,W 2–1,Godoy Cruz,Platense,Y,"LW,RW",90,0,0,0,0,3,0,0,0,34,4,0,0,0.2,0.2,0.0,0,0,14,22,63.6,2,25,0,Tadeo Allende
2023-09-11,Mon,Copa de la Liga Profesional,Group stage,Away,D 2–2,Godoy Cruz,Defensa y Just,Y,RW,90,0,0,0,0,1,0,0,0,44,0,1,2,0.0,0.0,0.0,4,0,23,34,67.6,4,21,1,Tadeo Allende
2023-09-17,Sun,Copa de la Liga Profesional,Group stage,Home,D 0–0,Godoy Cruz,Belgrano,Y,LW,90,0,0,0,0,1,0,0,0,41,0,2,1,0.0,0.0,0.1,2,0,19,31,61.3,1,26,1,Tadeo Allende
2023-09-21,Thu,Copa de la Liga Profesional,Group stage,Away,D 0–0,Godoy Cruz,Unión,Y,RW,84,0,0,0,0,1,0,1,0,35,2,1,2,0.0,0.0,0.0,2,0,17,26,65.4,2,15,0,Tadeo Allende
2023-09-25,Mon,Copa de la Liga Profesional,Group stage,Home,D 1–1,Godoy Cruz,Racing Club,Y,RW,84,1,0,0,0,3,1,0,0,36,1,0,1,0.8,0.8,0.0,1,1,12,25,48.0,0,25,3,Tadeo Allende
