_date,referee,home,away,fouls_home,fouls_away,corners_home,corners_away,tackles_home,tackles_away,offsides_home,offsides_away,goal_kicks_home,goal_kicks_away,throw_ins_home,throw_ins_away,shots_home,shots_away,sot_home,sot_away,league_season
2022-10-03,Daniele Minelli,Hellas Verona,Udinese,15,11,4,9,8,16,4,1,11,4,16,17,7,21,2,8,SA 22/23
2022-10-08,Simone Sozza,Sassuolo,Inter,14,17,6,5,4,17,0,1,9,12,19,15,15,16,3,4,SA 22/23
2022-10-08,Daniele Orsato,Milan,Juventus,7,7,9,3,16,15,1,0,6,13,27,22,21,10,3,3,SA 22/23
2022-10-08,Marco Piccinini,Bologna,Sampdoria,17,21,2,5,18,22,5,1,6,6,28,29,10,9,3,3,SA 22/23
2022-10-09,Francesco Fourneau,Torino,Empoli,15,9,6,1,7,6,3,1,6,15,30,17,20,6,7,2,SA 22/23
2022-10-09,Daniele Doveri,Udinese,Atalanta,11,12,5,3,18,27,0,1,8,11,30,19,10,8,2,4,SA 22/23
2022-10-09,Davide Ghersini,Salernitana,Hellas Verona,9,15,1,6,25,13,1,3,8,8,15,20,14,12,4,2,SA 22/23
2022-10-09,Daniele Perenzoni,Monza,Spezia,10,20,3,6,19,16,3,4,9,4,21,27,7,10,4,1,SA 22/23
2022-10-09,Rosario Abisso,Cremonese,Napoli,18,6,5,2,21,17,4,1,13,7,15,15,12,20,1,9,SA 22/23
2022-10-09,Alessandro Prontera,Roma,Lecce,12,11,13,4,16,18,1,1,2,9,18,23,19,6,5,3,SA 22/23
2022-10-10,Fabio Maresca,Fiorentina,Lazio,17,9,9,2,18,11,4,2,3,16,20,17,25,10,3,6,SA 22/23
2022-10-15,Antonio Rapuano,Empoli,Monza,17,14,2,9,26,27,1,1,12,8,21,25,11,16,5,4,SA 22/23
2022-10-15,Maurizio Mariani,Torino,Juventus,11,8,3,6,13,22,0,0,4,15,19,15,15,14,2,8,SA 22/23
2022-10-15,Matteo Marcenaro,Atalanta,Sassuolo,10,8,3,3,15,16,3,2,8,12,25,20,16,11,4,3,SA 22/23
2022-10-16,Juan Sacchi,Inter,Salernitana,12,14,6,4,9,11,0,4,8,14,11,21,16,8,6,3,SA 22/23
2022-10-16,Andrea Colombo,Lazio,Udinese,8,11,7,3,18,19,0,1,7,6,31,29,8,12,3,2,SA 22/23
2022-10-16,Gianluca Manganiello,Spezia,Cremonese,12,11,6,8,13,29,3,2,11,4,29,18,15,24,6,4,SA 22/23
2022-10-16,Francesco Cosso,Napoli,Bologna,6,10,6,4,15,29,2,1,9,12,27,18,31,16,11,3,SA 22/23
2022-10-16,Davide Massa,Hellas Verona,Milan,7,9,9,3,9,20,0,1,7,9,22,21,19,16,4,6,SA 22/23
2022-10-17,Marco Di Bello,Sampdoria,Roma,20,20,4,3,16,12,0,3,8,8,20,20,8,6,1,3,SA 22/23
2022-10-17,Luca Massimi,Lecce,Fiorentina,15,16,2,8,21,17,3,2,10,9,18,25,6,10,2,5,SA 22/23
2022-10-21,Michael Fabbri,Juventus,Empoli,13,11,6,4,13,15,2,1,8,8,15,22,21,12,7,4,SA 22/23
2022-10-22,Daniele Chiffi,Salernitana,Spezia,9,8,4,7,25,17,1,2,11,12,22,22,17,14,4,2,SA 22/23
2022-10-22,Livio Marinelli,Milan,Monza,18,9,2,2,17,20,0,0,6,8,20,26,12,16,7,6,SA 22/23
2022-10-22,Paolo Valeri,Fiorentina,Inter,15,14,1,2,10,16,0,4,4,8,26,18,9,7,3,6,SA 22/23
2022-10-23,Matteo Marchetti,Udinese,Torino,12,16,7,4,19,19,1,0,8,10,30,8,15,13,4,6,SA 22/23
2022-10-23,Simone Sozza,Bologna,Lecce,12,14,9,4,14,11,1,1,8,6,25,27,8,8,4,4,SA 22/23
2022-10-23,Rosario Abisso,Atalanta,Lazio,15,9,5,8,15,20,1,0,5,11,23,23,7,12,0,5,SA 22/23
2022-10-23,Massimiliano Irrati,Roma,Napoli,14,12,3,4,25,18,3,0,4,6,16,30,6,12,0,5,SA 22/23
2022-10-24,Fabio Maresca,Cremonese,Sampdoria,16,15,5,1,15,17,4,2,9,13,29,22,20,8,3,4,SA 22/23
2022-10-24,Alberto Santoro,Sassuolo,Hellas Verona,7,19,4,5,16,15,2,4,12,6,13,22,14,13,3,5,SA 22/23
2022-10-29,Antonio Rapuano,Napoli,Sassuolo,5,6,11,5,18,13,3,0,6,14,20,19,18,10,6,6,SA 22/23
2022-10-29,Daniele Chiffi,Lecce,Juventus,16,13,7,7,18,13,2,0,7,7,19,25,5,13,0,5,SA 22/23
2022-10-29,Luca Massimi,Inter,Sampdoria,4,13,3,3,14,16,1,0,10,11,13,19,17,9,8,2,SA 22/23
2022-10-30,Giovanni Ayroldi,Empoli,Atalanta,10,13,7,2,18,19,4,2,7,6,31,17,13,19,3,5,SA 22/23
2022-10-30,Davide Massa,Spezia,Fiorentina,19,14,5,5,9,18,2,1,11,5,25,20,10,27,6,5,SA 22/23
2022-10-30,Massimiliano Irrati,Cremonese,Udinese,8,9,7,4,29,15,2,3,8,9,27,18,13,13,2,3,SA 22/23
2022-10-30,Gianluca Manganiello,Lazio,Salernitana,10,7,4,5,16,16,3,4,6,5,18,12,13,10,4,6,SA 22/23
2022-10-30,Rosario Abisso,Torino,Milan,11,16,6,1,10,27,3,0,13,7,21,24,7,12,4,1,SA 22/23
2022-10-31,Juan Sacchi,Hellas Verona,Roma,9,9,2,4,14,22,0,0,5,5,19,19,7,14,3,6,SA 22/23
2022-10-31,Luca Pairetto,Monza,Bologna,13,18,4,5,11,12,2,0,7,6,27,12,8,10,2,5,SA 22/23
2022-11-04,Francesco Fourneau,Udinese,Lecce,12,18,3,2,16,28,2,0,8,5,30,30,16,9,5,1,SA 22/23
2022-11-05,Ermanno Feliciani,Empoli,Sassuolo,11,11,3,6,33,17,4,0,12,11,24,30,17,10,1,3,SA 22/23
2022-11-05,Matteo Marchetti,Salernitana,Cremonese,14,10,2,2,6,25,0,6,4,7,17,22,10,11,2,4,SA 22/23
2022-11-05,Maurizio Mariani,Atalanta,Napoli,10,9,5,2,22,12,2,2,7,10,27,29,15,7,3,5,SA 22/23
2022-11-05,Michael Fabbri,Milan,Spezia,12,13,3,6,21,18,0,0,9,6,20,25,23,13,10,5,SA 22/23
2022-11-06,Antonio Giua,Bologna,Torino,14,17,3,1,14,13,1,5,4,11,26,21,9,6,5,1,SA 22/23
2022-11-06,Francesco Cosso,Monza,Hellas Verona,10,10,5,2,23,8,1,2,8,16,13,22,14,7,3,2,SA 22/23
2022-11-06,Livio Marinelli,Sampdoria,Fiorentina,10,18,4,4,12,18,2,2,3,12,30,21,14,5,2,3,SA 22/23
2022-11-06,Daniele Orsato,Roma,Lazio,18,14,4,2,22,21,3,2,1,13,29,13,8,5,2,3,SA 22/23
2022-11-06,Daniele Doveri,Juventus,Inter,16,13,2,8,12,10,1,1,10,4,8,16,8,14,3,4,SA 22/23
2022-11-08,Luca Pairetto,Napoli,Empoli,12,16,5,0,10,16,0,1,6,10,27,18,17,6,3,1,SA 22/23
2022-11-08,Marco Piccinini,Spezia,Udinese,12,12,9,0,25,13,1,4,6,9,27,24,21,10,6,2,SA 22/23
2022-11-08,Antonio Rapuano,Cremonese,Milan,16,10,2,4,21,16,2,2,9,8,21,19,6,16,1,5,SA 22/23
2022-11-09,Gianluca Aureliano,Lecce,Atalanta,11,12,4,3,23,21,1,2,4,12,27,36,15,12,3,4,SA 22/23
2022-11-09,Giovanni Ayroldi,Sassuolo,Roma,14,13,3,2,18,31,0,6,9,7,15,18,15,11,7,4,SA 22/23
2022-11-09,Federico La Penna,Fiorentina,Salernitana,10,11,4,3,15,17,4,3,3,13,24,19,18,4,7,1,SA 22/23
2022-11-09,Davide Massa,Torino,Sampdoria,14,21,4,3,15,17,4,4,9,2,24,24,8,11,5,1,SA 22/23
2022-11-09,Andrea Colombo,Inter,Bologna,10,11,4,4,8,5,2,0,6,7,15,15,12,10,6,4,SA 22/23
2022-11-10,Marco Di Bello,Hellas Verona,Juventus,14,13,5,4,16,17,1,0,5,11,17,20,15,11,2,3,SA 22/23
2022-11-10,Alberto Santoro,Lazio,Monza,15,14,4,3,9,15,0,1,9,10,14,17,12,8,4,0,SA 22/23
2022-11-11,Federico Dionisi,Empoli,Cremonese,9,14,4,9,21,18,1,1,9,7,18,24,13,20,6,5,SA 22/23
2022-11-12,Giovanni Ayroldi,Napoli,Udinese,12,13,5,3,22,14,0,1,3,6,24,17,15,10,5,4,SA 22/23
2022-11-12,Daniele Doveri,Sampdoria,Lecce,14,19,9,0,12,15,6,5,9,6,22,21,11,11,2,3,SA 22/23
2022-11-12,Ivan Pezzuto,Bologna,Sassuolo,12,6,4,6,19,8,2,1,5,7,19,30,8,9,4,3,SA 22/23
2022-11-13,Daniele Chiffi,Atalanta,Inter,10,11,5,4,15,18,1,0,10,11,27,17,17,14,6,3,SA 22/23
2022-11-13,Antonio Rapuano,Roma,Torino,13,10,7,0,14,15,0,1,6,9,24,23,12,10,4,2,SA 22/23
2022-11-13,Antonio Giua,Monza,Salernitana,9,11,6,1,12,13,4,1,8,6,15,19,18,5,6,0,SA 22/23
2022-11-13,Fabio Maresca,Hellas Verona,Spezia,13,21,2,10,7,10,4,0,5,14,24,24,18,16,5,9,SA 22/23
2022-11-13,Simone Sozza,Milan,Fiorentina,13,11,5,7,17,21,3,2,6,5,26,12,12,11,2,4,SA 22/23
2022-11-13,Davide Massa,Juventus,Lazio,10,8,2,6,20,14,1,1,6,4,20,15,13,10,9,3,SA 22/23
2023-01-04,Fabio Maresca,Sassuolo,Sampdoria,16,19,9,1,18,19,1,6,7,13,23,19,15,9,3,4,SA 22/23
2023-01-04,Francesco Fourneau,Salernitana,Milan,21,13,6,2,22,21,1,4,5,6,17,20,8,16,1,10,SA 22/23
2023-01-04,Antonio Giua,Spezia,Atalanta,11,11,3,8,28,23,1,1,15,6,24,25,7,19,3,3,SA 22/23
2023-01-04,Federico Dionisi,Torino,Hellas Verona,7,17,6,3,11,12,2,0,5,11,27,13,9,10,3,2,SA 22/23
2023-01-04,Alberto Santoro,Roma,Bologna,10,10,3,3,13,20,1,1,10,5,21,23,13,11,3,1,SA 22/23
2023-01-04,Livio Marinelli,Lecce,Lazio,16,13,4,3,19,16,3,2,8,5,30,30,11,8,4,2,SA 22/23
2023-01-04,Ermanno Feliciani,Fiorentina,Monza,11,13,9,1,15,15,1,4,8,13,19,19,22,10,6,3,SA 22/23
2023-01-04,Giovanni Ayroldi,Cremonese,Juventus,12,12,3,8,17,25,2,2,13,8,35,30,13,19,3,8,SA 22/23
2023-01-04,Simone Sozza,Inter,Napoli,12,7,5,4,21,9,4,2,7,6,20,34,6,9,1,2,SA 22/23
2023-01-04,Marco Serra,Udinese,Empoli,15,14,8,1,25,22,0,2,6,13,19,16,21,6,3,1,SA 22/23
2023-01-07,Gianluca Manganiello,Fiorentina,Sassuolo,14,9,6,3,13,23,1,1,10,15,23,18,14,15,3,3,SA 22/23
2023-01-07,Matteo Marchetti,Juventus,Udinese,16,13,6,4,19,14,3,0,11,10,20,17,14,11,4,3,SA 22/23
2023-01-07,Juan Sacchi,Monza,Inter,14,20,3,5,17,11,0,3,7,6,22,17,13,11,4,3,SA 22/23
2023-01-08,Andrea Colombo,Salernitana,Torino,10,15,6,7,11,7,1,1,14,7,13,25,11,23,4,8,SA 22/23
2023-01-08,Daniele Chiffi,Spezia,Lecce,14,15,5,7,10,18,1,1,8,13,44,32,10,15,2,4,SA 22/23
2023-01-08,Ivan Pezzuto,Lazio,Empoli,17,10,10,3,18,13,2,1,4,10,10,11,18,5,4,2,SA 22/23
2023-01-08,Rosario Abisso,Sampdoria,Napoli,15,12,2,5,22,12,0,4,14,7,16,11,9,22,2,6,SA 22/23
2023-01-08,Davide Massa,Milan,Roma,19,13,3,4,27,11,0,1,7,8,16,22,12,12,5,3,SA 22/23
2023-01-09,Maurizio Mariani,Hellas Verona,Cremonese,16,11,3,5,17,20,2,1,6,6,31,23,9,14,4,5,SA 22/23
2023-01-09,Marco Di Bello,Bologna,Atalanta,16,15,4,0,20,17,1,1,8,9,28,23,12,7,3,3,SA 22/23
2023-01-13,Daniele Doveri,Napoli,Juventus,10,9,2,5,26,27,1,0,6,3,19,19,14,11,10,2,SA 22/23
2023-01-14,Davide Massa,Cremonese,Monza,12,12,4,2,25,16,5,2,7,6,33,27,11,7,7,2,SA 22/23
2023-01-14,Daniele Orsato,Lecce,Milan,11,12,8,4,23,22,0,3,11,8,16,41,17,12,3,5,SA 22/23
2023-01-14,Michael Fabbri,Inter,Hellas Verona,11,13,3,4,20,12,0,1,9,8,28,23,11,6,3,1,SA 22/23
2023-01-15,Luca Pairetto,Sassuolo,Lazio,17,10,7,3,19,24,0,3,10,9,22,17,12,11,2,2,SA 22/23
2023-01-15,Manuel Volpi,Udinese,Bologna,10,17,6,4,13,25,3,3,14,10,21,19,20,15,4,2,SA 22/23
2023-01-15,Davide Ghersini,Torino,Spezia,13,12,7,2,9,22,3,1,9,8,26,16,11,12,4,4,SA 22/23
2023-01-15,Gianluca Aureliano,Atalanta,Salernitana,10,12,5,2,13,16,1,2,5,2,16,17,17,7,11,2,SA 22/23
2023-01-15,Antonio Giua,Roma,Fiorentina,15,12,5,9,18,10,3,1,4,7,17,17,10,7,4,2,SA 22/23
2023-01-16,Alberto Santoro,Empoli,Sampdoria,15,16,3,3,20,21,2,0,7,10,23,21,16,16,5,7,SA 22/23
2023-01-21,Federico La Penna,Hellas Verona,Lecce,15,12,5,4,31,23,2,1,9,7,22,28,11,9,4,3,SA 22/23
2023-01-21,Daniele Chiffi,Salernitana,Napoli,14,15,3,4,10,11,4,3,14,2,16,11,5,9,2,4,SA 22/23
