_date,referee,home,away,fouls_home,fouls_away,corners_home,corners_away,tackles_home,tackles_away,offsides_home,offsides_away,goal_kicks_home,goal_kicks_away,trow_ins_home,trow_ins_away,sot_home,sot_away,shots_home,shots_away,league_season
2023-10-02,Ermanno Feliciani,Torino,Hellas Verona,6,11,10,1,9,19,1,1,7,13,29,19,2,2,8,5,SA 23/24
2023-10-02,Marco Di Bello,Fiorentina,Cagliari,10,10,4,2,18,17,1,2,4,10,19,12,2,3,14,6,SA 23/24
2023-10-06,Michael Fabbri,Empoli,Udinese,11,15,5,7,15,15,3,0,10,11,35,18,3,1,18,11,SA 23/24
2023-10-06,Juan Sacchi,Lecce,Sassuolo,9,15,5,3,26,10,2,0,10,9,25,29,4,0,13,13,SA 23/24
2023-10-07,Marco Guida,Inter,Bologna,11,9,7,7,13,15,2,1,4,8,28,14,5,2,14,7,SA 23/24
2023-10-07,Davide Massa,Juventus,Torino,10,8,7,3,11,16,2,0,11,5,13,24,5,1,17,10,SA 23/24
2023-10-07,Marco Piccinini,Genoa,Milan,10,13,3,2,7,11,0,3,12,6,14,14,1,3,7,12,SA 23/24
2023-10-08,Luca Massimi,Monza,Salernitana,8,16,7,7,17,11,0,2,2,9,16,17,6,5,15,8,SA 23/24
2023-10-08,Daniele Orsato,Lazio,Atalanta,7,10,4,6,17,11,3,2,9,4,21,18,4,4,12,12,SA 23/24
2023-10-08,Maria Sole Ferrieri Caputi,Frosinone,Hellas Verona,8,12,2,4,14,11,0,1,13,10,19,26,2,4,11,16,SA 23/24
2023-10-08,Simone Sozza,Cagliari,Roma,15,13,4,3,7,12,1,1,5,10,19,16,1,5,15,11,SA 23/24
2023-10-08,Federico La Penna,Napoli,Fiorentina,4,14,6,4,13,23,2,3,4,8,18,22,3,3,15,12,SA 23/24
2023-10-22,Maurizio Mariani,Milan,Juventus,12,16,6,3,20,16,0,2,9,5,21,23,1,4,7,14,SA 23/24
2023-10-28,Ermanno Feliciani,Juventus,Hellas Verona,13,8,5,1,9,14,1,1,7,20,15,17,5,1,30,7,SA 23/24
2023-11-10,Davide Ghersini,Sassuolo,Salernitana,12,14,11,0,21,21,1,3,5,14,23,24,9,2,29,9,SA 23/24
2023-11-10,Daniele Orsato,Genoa,Hellas Verona,9,16,6,7,17,11,2,1,8,7,26,21,5,1,16,7,SA 23/24
2023-11-11,Rosario Abisso,Lecce,Milan,12,16,3,1,21,19,0,0,9,13,23,18,5,6,14,10,SA 23/24
