_date,referee,home,away,fouls_home,fouls_away,corners_home,corners_away,tackles_home,tackles_away,offsides_home,offsides_away,goal_kicks_home,goal_kicks_away,throw_ins_home,throw_ins_away,shots_home,shots_away,sot_home,sot_away,league_season
2023-12-01,Hakim Ben El Hadj Salem,Reims,Strasbourg,7,7,4,5,22,16,2,1,8,7,20,25,12,9,3,2,L1 23/24
2023-12-02,Clément Turpin,Lens,Lyon,11,14,3,6,12,14,0,0,4,5,16,15,9,12,6,7,L1 23/24
2023-12-02,Ruddy Buquet,Nantes,Nice,15,18,5,6,17,10,1,4,6,8,13,16,13,13,4,6,L1 23/24
2023-12-03,Bastien Dechepy,Le Havre,Paris S-G,11,9,9,2,17,15,0,1,5,14,17,8,22,9,6,5,L1 23/24
2023-12-03,Jeremy Stinat,Monaco,Montpellier,15,13,8,2,29,19,1,1,3,10,10,24,27,9,9,3,L1 23/24
2023-12-03,Thomas Léonard,Toulouse,Lorient,16,10,3,4,23,14,1,0,8,4,13,16,11,11,6,5,L1 23/24
2023-12-03,Marc Bollengier,Brest,Clermont Foot,11,17,4,2,14,22,2,1,6,11,19,13,11,10,6,1,L1 23/24
2023-12-03,Gaël Angoula,Lille,Metz,8,11,6,1,15,16,2,3,5,8,16,19,15,5,5,2,L1 23/24
2023-12-03,Willy Delajod,Marseille,Rennes,9,15,1,6,13,14,2,1,9,4,12,15,4,10,1,0,L1 23/24
2023-12-06,François Letexier,Marseille,Lyon,14,11,10,3,37,15,3,1,5,10,16,24,12,6,5,1,L1 23/24
2023-12-07,Jérémie Pignard,Brest,Strasbourg,11,18,6,0,12,16,0,1,6,8,25,14,13,9,3,5,L1 23/24
2023-12-08,Stéphanie Frappart,Montpellier,Lens,16,11,4,3,16,11,0,1,5,10,19,17,18,13,4,5,L1 23/24
2023-12-09,Clément Turpin,Rennes,Monaco,9,22,5,5,15,9,1,2,8,11,20,14,14,12,4,5,L1 23/24
2023-12-09,Jérôme Brisard,Paris S-G,Nantes,9,12,5,3,13,18,1,1,4,5,22,16,16,10,6,4,L1 23/24
2023-12-10,Benoît Bastien,Nice,Reims,14,6,9,0,17,23,6,1,4,12,26,19,15,9,5,2,L1 23/24
2023-12-10,Florent Batta,Clermont Foot,Lille,18,9,3,5,14,18,1,0,7,8,22,21,16,12,5,3,L1 23/24
2023-12-10,Benoît Millot,Strasbourg,Le Havre,14,15,4,3,24,19,3,2,10,5,16,28,12,14,3,3,L1 23/24
2023-12-10,Romain Lissorgue,Metz,Brest,14,16,3,2,19,36,3,2,4,4,25,21,6,4,3,3,L1 23/24
2023-12-10,Pierre Gaillouste,Lyon,Toulouse,15,15,2,1,7,18,0,4,7,6,14,12,15,15,7,5,L1 23/24
2023-12-10,Eric Wattellier,Lorient,Marseille,17,17,4,6,9,16,0,0,7,8,13,16,15,18,8,8,L1 23/24
2023-12-15,Ruddy Buquet,Monaco,Lyon,13,12,6,1,21,18,2,1,4,14,23,12,19,5,4,2,L1 23/24
2023-12-16,Jérémie Pignard,Le Havre,Nice,13,9,2,9,19,17,1,0,10,3,16,17,8,13,4,5,L1 23/24
2023-12-16,François Letexier,Lens,Reims,9,10,4,7,17,15,1,1,11,3,23,15,7,14,2,3,L1 23/24
2023-12-17,Benoît Millot,Nantes,Brest,15,8,4,3,25,25,1,0,6,7,24,28,12,14,4,7,L1 23/24
2023-12-17,Jeremy Stinat,Toulouse,Rennes,17,14,4,4,13,16,1,0,5,7,17,16,15,11,4,4,L1 23/24
2023-12-17,Marc Bollengier,Metz,Montpellier,15,14,12,5,18,21,2,0,2,9,28,15,19,6,3,3,L1 23/24
2023-12-17,Bastien Dechepy,Lorient,Strasbourg,14,12,6,1,13,17,0,1,5,9,18,14,7,12,1,9,L1 23/24
2023-12-17,Gaël Angoula,Marseille,Clermont Foot,12,14,4,1,20,17,0,0,4,15,19,8,15,5,6,2,L1 23/24
2023-12-17,Willy Delajod,Lille,Paris S-G,9,19,8,8,25,13,4,3,6,4,13,15,15,9,3,1,L1 23/24
2023-12-20,Mathieu Vernice,Brest,Lorient,8,17,1,0,17,13,1,4,4,5,18,17,11,7,7,3,L1 23/24
2023-12-20,Eric Wattellier,Clermont Foot,Rennes,8,11,4,5,11,13,1,1,9,3,11,19,14,24,6,10,L1 23/24
2023-12-20,Benoît Bastien,Lyon,Nantes,8,14,7,7,14,17,3,1,12,2,15,16,8,7,7,0,L1 23/24
2023-12-20,Hakim Ben El Hadj Salem,Nice,Lens,14,11,5,6,6,16,1,3,6,5,15,16,13,10,4,3,L1 23/24
2023-12-20,Stéphanie Frappart,Reims,Le Havre,7,6,6,2,18,15,4,1,6,10,16,12,22,4,7,1,L1 23/24
2023-12-20,Jérôme Brisard,Toulouse,Monaco,17,10,4,5,13,17,1,1,7,10,19,15,20,11,5,3,L1 23/24
2023-12-20,Thomas Léonard,Montpellier,Marseille,21,13,5,10,14,14,0,1,12,3,11,16,12,17,6,4,L1 23/24
2023-12-20,Clément Turpin,Strasbourg,Lille,19,10,6,5,25,28,3,2,8,5,15,20,9,9,2,2,L1 23/24
2023-12-20,Ruddy Buquet,Paris S-G,Metz,6,9,5,5,6,17,5,0,5,6,16,12,13,3,5,1,L1 23/24
2024-01-12,Marc Bollengier,Marseille,Strasbourg,11,10,6,4,12,15,1,2,8,11,15,11,8,18,1,4,L1 23/24
2024-01-13,François Letexier,Monaco,Reims,11,9,6,6,18,16,0,1,4,9,21,24,9,12,5,5,L1 23/24
2024-01-13,Bastien Dechepy,Rennes,Nice,13,11,6,6,20,19,0,0,6,5,20,16,14,9,4,2,L1 23/24
2024-01-14,Pierre Gaillouste,Lille,Lorient,10,22,7,1,14,20,3,2,3,7,18,11,24,1,10,0,L1 23/24
2024-01-14,Jérémie Pignard,Brest,Montpellier,6,7,3,3,18,28,1,2,1,10,38,18,26,9,9,4,L1 23/24
2024-01-14,Florent Batta,Metz,Toulouse,20,18,5,2,17,28,0,0,5,7,28,13,14,3,2,1,L1 23/24
2024-01-14,Romain Lissorgue,Nantes,Clermont Foot,10,5,11,5,19,16,2,1,6,9,19,14,21,15,10,6,L1 23/24
2024-01-14,Gaël Angoula,Le Havre,Lyon,15,4,3,7,21,13,3,1,6,8,25,11,14,9,7,2,L1 23/24
2024-01-14,Jérôme Brisard,Lens,Paris S-G,10,8,5,6,16,23,1,2,7,7,14,9,16,15,4,7,L1 23/24
2024-01-26,Thomas Léonard,Lyon,Rennes,15,12,3,2,14,19,0,0,3,7,32,15,12,11,6,5,L1 23/24
2024-01-27,Stéphanie Frappart,Nice,Metz,10,13,5,2,19,22,2,2,4,6,24,18,14,2,8,1,L1 23/24
2024-01-27,Willy Delajod,Marseille,Monaco,11,12,10,1,22,19,3,1,3,8,20,19,22,6,9,5,L1 23/24
2024-01-28,Hakim Ben El Hadj Salem,Montpellier,Lille,13,16,5,2,22,23,2,4,10,6,12,19,12,12,7,0,L1 23/24
2024-01-28,Benoît Millot,Clermont Foot,Strasbourg,12,16,5,2,15,16,1,2,7,5,28,17,14,6,5,2,L1 23/24
2024-01-28,Jeremy Stinat,Lorient,Le Havre,15,21,1,4,15,13,1,1,6,9,14,21,13,13,6,3,L1 23/24
2024-01-28,Jérémie Pignard,Reims,Nantes,8,16,6,2,19,31,2,0,3,12,28,15,10,6,1,4,L1 23/24
2024-01-28,Mathieu Vernice,Toulouse,Lens,11,14,10,7,13,19,1,3,6,5,24,21,12,13,4,5,L1 23/24
2024-01-28,Clément Turpin,Paris S-G,Brest,12,10,7,0,21,25,1,1,3,8,23,11,10,9,4,6,L1 23/24
2024-02-02,Ruddy Buquet,Strasbourg,Paris S-G,12,13,3,4,20,13,1,2,2,8,15,16,20,8,8,4,L1 23/24
2024-02-03,Mathieu Vernice,Rennes,Montpellier,17,12,5,3,15,17,2,1,6,7,16,27,8,17,2,8,L1 23/24
2024-02-03,Florent Batta,Nantes,Lens,16,11,2,3,14,8,3,0,11,8,15,15,7,12,2,4,L1 23/24
2024-02-04,Jérôme Brisard,Monaco,Le Havre,16,11,9,4,25,14,3,1,5,9,21,22,17,3,5,0,L1 23/24
2024-02-04,Pierre Gaillouste,Reims,Toulouse,13,16,10,6,27,32,0,0,1,6,31,21,17,8,4,3,L1 23/24
2024-02-04,Romain Lissorgue,Metz,Lorient,12,13,4,3,15,23,2,2,7,7,24,15,10,12,3,4,L1 23/24
2024-02-04,Bastien Dechepy,Lille,Clermont Foot,8,10,12,1,21,25,0,1,2,9,17,21,23,4,13,3,L1 23/24
2024-02-04,Jeremy Stinat,Brest,Nice,12,12,3,5,23,16,1,3,4,6,25,16,17,13,2,1,L1 23/24
2024-02-04,Benoît Bastien,Lyon,Marseille,14,10,3,2,12,20,0,5,6,3,17,18,12,8,6,0,L1 23/24
2024-02-09,Hakim Ben El Hadj Salem,Marseille,Metz,12,16,6,3,18,14,3,1,6,10,16,12,18,7,6,3,L1 23/24
